Name	Probe	K	Merkmal	Verbreitung
Einfluss bannen	IN/CH/CH	B	Antimagie, Einfluss	Dru6, Geo6, Hex6, Ach5, Elf5, Mag4, Sch4, Srl3
Eins mit der Natur	IN/GE/KO	C	Eigenschaften, Elementar (allgemein)	Geo7, Dru5, Elf2, Hex(Geo)2, Mag(Dru)2
Eisenrost und Patina	KL/CH/GE	C	Objekt, Temporal	Mag6, Ach5, Dru5, Sch4
Elementarbann	IN/CH/KO	C	Antimagie, Elementar (allgemein)	Geo2, Mag2
Elementarer Diener	MU/KL/CH	D	Elementar (allgemein), Herbeirufung	Geo6, Dru5, Ach4, Mag4
Erinnerung verlasse dich!	MU/IN/CH	D	Herrschaft
Bor: Herrschaft, Dämonisch (Amazeroth)	Bor4, Mag3
Exposami Lebenskraft	KL/IN/IN	B	Hellsicht	Elf6, Ach4, Dru4, Geo4, Hex3, Mag3
Falkenauge Meisterschuss	IN/FF/GE	B	Eigenschaften	Elf6, Mag(Elf)2
Favilludo Funkentanz	IN/CH/FF	A	Illusion	Srl6, Mag5, Sch(Mag)3
Firnlauf	MU/KL/GE	D	Elementar (Eis), Eigenschaften	Elf6, Mag2
Flim Flam Funkel	KL/KL/FF	A	Umwelt	Ach7, Elf7, Mag7, Dru6, Hex6, Geo5, Sch4, Srl(Mag)4
Fluch der Pestilenz	MU/KL/CH	D	Dämonisch (Mishkara)	Dru5, Bor2, Hex2, Mag(Dru)2
Foramen Foraminor	KL/KL/FF	C	Hellsicht, Telekinese	Mag6, Srl5, Sch4
Fortifex arkane Wand	IN/KO/KK	D	Umwelt, Elementar (Erz)	Mag4, Ach3
Frigifaxius	KL/FF/KO	C	Schaden, Elementar (Eis)	Geo2, Mag2, Ach2
Frigisphaero	MU/IN/KO	D	Telekinese, Elementar (Eis), Schaden	Ach2, Mag2, Geo1
Fulminictus Donnerkeil	IN/GE/KO	C	Schaden, Kraft	Elf7, Mag5, Hex(Mag)2
Gardianum Zauberschild	KL/IN/KO	D	Antimagie, Kraft, Metamagie	Mag6, Ach2, Geo(Mag)2
Gedankenbilder Elfenruf	KL/IN/CH	B	Verständigung	Elf7, Mag3
Gefunden!	KL/IN/GE	C	Hellsicht	Sch5, Ach3, Hex3, Mag3, Srl(Sch)3
Geisterbann	MU/MU/CH	C	Antimagie, Geisterwesen	Dru7, Mag5, Geo4, Hex4
Geisterruf	MU/MU/CH	D	Geisterwesen, Herbeirufung	Dru6, Geo3, Hex3, Mag3
Gletscherwand	MU/KL/CH	D	Elementar (Eis)	Mag3, Dru2
Granit und Marmor	MU/CH/KO	D	Form, Elementar (Erz)
Bor: Form, Dämonisch (Agrimoth)	Bor2, Mag2
Halluzination	KL/IN/CH	C	Herrschaft	Dru5, Geo4, Hex(Dru)2, Mag(Dru)2, Srl(Geo)2
Harmlose Gestalt	KL/CH/GE	C	Einfluss, Illusion	Hex7, Ach3, Dru3, Mag3, Sch3, Srl3, Elf2
Hartes schmelze!	MU/KL/KK	C	Objekt, Elementar (Wasser)
Bor: Objekt, Dämonisch (Agrimoth)	Bor5, Ach4, Mag3
Haselbusch und Ginsterkraut	CH/FF/KO	D	Eigenschaften, Elementar (Humus), Form	Elf5, Geo3, Dru(Elf)2, Hex(Elf)2, Mag(Elf)2
Heilkraft bannen	KL/CH/FF	C	Antimagie, Heilung	Bor2, Mag2, Hex(Mag)2
Hellsicht trüben	KL/IN/CH	C	Antimagie, Hellsicht	Dru6, Geo6, Mag5, Sch5, Ach4, Elf4, Hex4, Srl3
Herbeirufung vereiteln	MU/IN/CH	C	Antimagie, Herbeirufung	Dru3, Mag3, Hex2
Herr über das Tierreich	MU/MU/CH	D	Herrschaft	Dru7, Geo6, Elf3, Hex3, Ach2, Mag2
Hexenknoten	KL/IN/CH	C	Einfluss, Illusion	Hex7, Dru(Hex)2, Mag(Hex)2, Srl(Hex)2
Hexenspeichel	IN/CH/FF	C	Heilung	Hex7, Geo5, Mag(Hex)2
Höllenpein zerreiße dich!	KL/CH/KO	C	Einfluss
Bor: Dämonisch (Belhalhar), Einfluss	Bor7, Ach3, Mag3
Horriphobus Schreckgestalt	MU/IN/CH	C	Einfluss	Mag6, Bor4, Dru3, Hex(Dru)2, Srl1
Humofaxius	KL/FF/KO	C	Schaden, Elementar (Humus)	Geo2, Mag2, Ach2
Humosphaero	MU/IN/KO	D	Telekinese, Elementar (Humus), Schaden	Ach2, Mag2, Geo1
Ignifaxius	KL/FF/KO	C	Schaden, Elementar (Feuer)	Mag5, Ach3, Dru(Mag)2
Ignisphaero	MU/IN/KO	D	Telekinese, Elementar (Feuer), Schaden	Mag3, Ach2, Geo1
Ignorantia Ungesehn	IN/CH/GE	D	Einfluss, Illusion	Mag3, Srl3
Illusion auflösen	KL/IN/CH	B	Antimagie, Illusion	Mag5, Srl4, Hex3, Sch3
Imperavi Handlungszwang	KL/CH/CH	E	Herrschaft	Mag4, Dru2
Impersona Maskenbild	KL/IN/FF	D	Illusion	Mag4, Srl3
Invercano Spiegeltrick	MU/IN/FF	F	Antimagie, Kraft, Metamagie	Mag3
Invocatio maior	MU/MU/CH	E	Beschwörung, Dämonisch (allgemein)	Bor5, Mag5, Hex3, Dru2
Invocatio minor	MU/MU/CH	D	Beschwörung, Dämonisch (allgemein)	Mag5, Ach4, Bor4, Hex4, Dru2
Karnifilo Raserei	MU/IN/CH	C	Einfluss, Eigenschaften
Bor: Einfluss, Eigenschaften, Dämonisch (Belhalhar)	Mag4, Ach3, Bor3
Klarum Purum	KL/KL/CH	D	Form, Heilung	Mag6, Ach3, Dru3, Elf3, Geo3, Hex3
Klickeradomms	KL/FF/KK	A	Telekinese	Sch7, Hex3, Mag3, Srl3
Körperlose Reise	MU/KL/IN	E	Limbus, Verständigung	Dru3, Ach2, Geo2, Hex2, Mag2
Krabbelnder Schrecken	MU/MU/CH	C	Herbeirufung, Dämonisch (Mishkara)	Hex3, Bor2, Mag2
Kraft des Erzes	KL/KO/KK	D	Elementar (Erz), Objekt	Geo5, Ach3, Dru3, Mag(Dru)2
Kulminatio Kugelblitz	MU/IN/FF	D	Schaden	Mag2, Ach1
Leib des Feuers	MU/MU/GE	E	Form, Elementar (Feuer)	Hex4, Elf2, Mag2, Dru(Hex)2
Leib des Windes	MU/GE/KK	E	Form, Elementar (Luft)	Elf3, Ach2, Dru2, Geo2, Mag(Elf)2
Leidensbund	MU/IN/KO	C	Heilung, Verständigung	Ach3, Hex2, Bor2, Mag(Ach)2
Levthans Feuer	IN/CH/CH	D	Einfluss, Verständigung	Hex4, Mag(Hex)2
Limbus versiegeln	KL/IN/KO	E	Antimagie, Limbus	Mag2
Lunge des Leviatan	IN/CH/KO	C	Heilung	Ach5, Mag2, Hex(Ach)2
Magischer Raub	MU/KL/KO	D	Kraft, Verständigung	Dru6, Geo4, Mag3, Ach2, Bor2, Hex2
Mahlstrom	MU/IN/KK	D	Elementar (Wasser), Umwelt	Dru3, Mag2, Mag(Dru)2
Manifesto Element	KL/IN/CH	A	Elementar (allgemein)	Ach7, Dru5, Geo5, Mag5, Hex3, Srl3, Elf2
Meister der Elemente	MU/KL/CH	F	Elementar (allgemein), Herbeirufung	Dru4, Geo4, Ach3, Mag3
Memorabia Falsifir	KL/IN/CH	E	Herrschaft	Elf3, Mag3, Ach2, Dru2, Hex2
Memorans Gedächtniskraft	KL/KL/IN	C	Hellsicht, Eigenschaften	Mag4, Dru2
Menetekel Flammenschrift	KL/CH/FF	B	Illusion	Mag5, Srl(Mag)3
Metamagie neutralisieren	KL/KL/KO	F	Antimagie, Metamagie	Mag2
Metamorpho Gletscherform	KL/FF/KK	C	Elementar (Eis), Objekt	Elf4, Mag2
Motoricus	KL/FF/KK	C	Telekinese	Mag6, Sch5, Ach4, Elf4, Hex4, Srl4
Movimento Dauerlauf	IN/GE/KO	A	Eigenschaften	Elf7, Dru(Elf)3, Hex(Elf)3, Mag(Elf)3
Nebelwand und Morgendunst	KL/FF/KO	C	Umwelt, Elementar (Luft), Elementar (Wasser)	Elf6, Ach4, Dru3, Geo3, Mag2, Hex(Elf)2, Srl(Mag)2, Mag(Dru)2
Nekropathia Seelenreise	MU/KL/CH	E	Geisterwesen, Verständigung	Mag3, Dru2, Hex(Mag)2
Nihilogravo Schwerelos	KL/KO/KK	E	Umwelt	Mag3
Nuntiovolo Botenvogel	MU/KL/CH	C	Beschwörung, Dämonisch (Lolgramoth)	Mag3, Ach2, Bor2, Hex2
Objecto Obscuro	KL/FF/KO	D	Objekt	Mag3, Ach2
Objectofixo	KL/KL/KK	D	Objekt, Temporal	Ach5, Mag4
Objectovoco	KL/IN/CH	C	Verständigung	Mag5, Dru4, Elf4, Geo3, Hex2, Srl(Mag)2
Objekt entzaubern	KL/IN/FF	C	Antimagie, Objekt	Mag5, Ach4, Hex3, Srl(Mag)2
Oculus Astralis	KL/IN/CH	E	Hellsicht, Kraft, Metamagie, Limbus	Mag3
Odem Arcanum	KL/IN/IN	A	Hellsicht, Kraft	Ach7, Elf7, Mag7, Geo6, Dru5, Hex5, Sch4, Srl4
Orcanofaxius	KL/FF/KO	C	Schaden, Elementar (Luft)	Geo2, Mag2, Ach2
Orcanosphaero	MU/IN/KO	D	Telekinese, Elementar (Luft), Schaden	Ach2, Mag2, Geo1
Pandaemonium	MU/MU/CH	D	Beschwörung, Dämonisch (allgemein)	Bor4, Hex3, Mag2
Paralysis starr wie Stein	IN/CH/KK	C	Form, Elementar (Erz)	Mag7, Dru(Mag)3
Pectetondo Zauberhaar	KL/CH/FF	B	Form	Mag5, Srl5, Hex(Mag)3, Sch(Mag)2
Penetrizzel Tiefenblick	KL/KL/KO	C	Hellsicht	Mag5, Elf4, Sch4, Srl3
Pentagramma Sphärenbann	MU/MU/CH	D	Antimagie, Beschwörung, Dämonisch (allgemein), Geisterwesen	Mag5, Hex3, Dru2, Geo2
Pfeil der Luft	KL/IN/CH	C	Elementar (Luft), Objekt	Elf5, Mag3
Pfeil des Erzes	KL/IN/CH	C	Elementar (Erz), Objekt	Mag2
Pfeil des Feuers	KL/IN/CH	C	Elementar (Feuer), Objekt	Mag2, Elf1
Plumbumbarum schwerer Arm	CH/GE/KK	B	Einfluss	Mag7, Dru5, Geo5, Hex5, Ach4, Elf4, Sch4, Srl3
Projektimago Ebenbild	MU/IN/CH	D	Illusion, Verständigung	Ach2, Mag2, Srl2
Protectionis Kontrabann	KL/CH/KO	F	Antimagie, Metamagie	Bor2, Mag2
Psychostabilis	MU/KL/KO	C	Antimagie, Eigenschaften	Mag6, Dru5, Geo5, Hex5, Ach3, Srl3, Elf(Mag)3
Reflectimago Spiegelschein	KL/CH/FF	B	Illusion	Mag5, Srl4
Reptilea Natternnest	MU/IN/CH	D	Herbeirufung
Bor: Herbeirufung, Dämonisch (Mishkara)	Ach4, Bor3, Mag2
Respondami Wahrheitszwang	MU/IN/CH	B	Herrschaft	Mag7, Dru5, Geo5, Elf4, Hex4
Reversalis Revidum	KL/IN/CH	E	Metamagie	Ach3, Mag3, Dru(Mag)2, Hex(Mag)2
Ruhe Körper, ruhe Geist	KL/CH/KO	B	Heilung	Elf5, Ach4, Mag4, Dru3, Hex3
Salander Mutander	KL/CH/KO	E	Form	Mag5, Ach3, Hex3, Dru2
Sapefacta Zauberschwamm	KL/CH/FF	C	Telekinese, Elementar (Luft), Elementar (Wasser)	Mag5, Srl4, Hex(Mag)2
Schadenszauber bannen	MU/IN/KO	C	Antimagie, Schaden	Mag3, Elf2
Schelmenmaske	IN/CH/GE	D	Illusion	Sch6, Mag(Sch)2, Srl(Sch)2
Schleier der Unwissenheit	KL/KL/FF	D	Eigenschaften, Metamagie	Hex6, Mag4, Bor2, Dru2
Schwarz und Rot	MU/CH/KO	D	Eigenschaften, Schaden	Bor4, Mag3, Hex(Mag)2
Schwarzer Schrecken	MU/IN/CH	D	Einfluss	Bor6, Mag3
Sensattacco Meisterstreich	MU/IN/GE	D	Eigenschaften, Hellsicht	Mag3
Sensibar Empathicus	KL/IN/CH	C	Hellsicht	Elf7, Mag6, Dru5, Hex5, Geo5, Ach4, Sch4, Srl4
Serpentialis Schlangenleib	MU/CH/GE	D	Form	Ach4, Hex2, Mag(Ach)2
Silentium	KL/IN/CH	B	Umwelt	Elf7, Mag5, Sch5, Geo4, Srl4, Dru2, Hex2
Sinesigil unerkannt	KL/IN/FF	D	Illusion	Mag2
Skelettarius	MU/MU/CH	C	Dämonisch (Thargunitoth)	Mag4, Bor2
Solidirid Weg aus Licht	IN/KO/KK	D	Umwelt, Elementar (Luft)	Elf4, Mag2, Mag(Elf)2
Somnigravis tiefer Schlaf	KL/CH/CH	B	Einfluss	Elf6, Mag5, Ach3, Dru3, Geo3, Hex3, Sch3, Srl3
Staub wandle!	MU/KL/CH	E	Elementar (Erz)	Mag2
Stein wandle!	MU/CH/KK	E	Beschwörung, Dämonisch (allgemein)	Bor2, Mag2
Sumus Elixiere	IN/CH/FF	C	Elementar (Humus)	Geo5, Dru4, Hex3, Mag(Dru)2
Tempus Stasis	MU/KL/KK	E	Temporal	Ach2, Mag2
Tiergedanken	MU/IN/CH	C	Hellsicht, Verständigung	Elf5, Geo5, Ach4, Dru4, Hex4, Mag3
Tlalucs Odem Pestgestank	MU/IN/GE	C	Beschwörung, Dämonisch (allgemein), Schaden	Mag3, Bor2, Dru2, Hex2
Totes handle!	MU/CH/KO	D	Beschwörung, Dämonisch (Thargunitoth)	Bor2, Mag2
Transmutare Körperform	CH/GE/KO	D	Form	Mag2
Transversalis Teleport	KL/IN/KO	E	Limbus	Mag3
Traumgestalt	IN/CH/CH	D	Verständigung	Hex5, Dru3, Elf3, Mag2
Unberührt von Satinav	KL/FF/KO	C	Objekt, Temporal	Ach6, Mag4, Elf1
Unitatio Geistesbund	IN/CH/KO	B	Verständigung, Kraft	Elf7, Hex6, Mag6, Ach4, Dru4, Geo4
Veränderung aufheben	KL/IN/KO	D	Antimagie, Umwelt	Ach5, Geo5, Mag5, Dru4
Verständigung stören	KL/KL/IN	C	Antimagie, Verständigung	Elf6, Ach5, Dru5, Mag5, Geo4, Hex3
Verwandlung beenden	KL/CH/FF	D	Antimagie, Form	Dru5, Hex5, Mag5, Geo4
Visibili Vanitar	KL/IN/GE	C	Form	Elf6, Mag5, Sch5, Srl3
Vocolimbo hohler Klang	KL/CH/FF	B	Illusion	Mag5, Srl5, Sch(Mag)2
Vogelzwitschern Glockenspiel	MU/IN/GE	B	Illusion	Mag5, Srl5, Sch3
Wand aus Dornen	MU/KL/CH	D	Elementar (Humus)	Geo4, Dru3, Mag3
Wand aus Flammen	MU/KL/CH	D	Elementar (Feuer)	Geo4, Mag4, Dru4
Wand aus Erz	MU/KL/CH	D	Elementar (Erz)	Geo4, Dru3, Mag3
Wand aus Luft	MU/KL/CH	D	Elementar (Luft)	Geo4, Dru3, Mag3
Wand aus Wasser	MU/KL/CH	D	Elementar (Wasser)	Geo4, Dru3, Mag3
Wasseratem	MU/KL/KO	C	Form	Elf6, Dru2, Geo2, Mag2
Weiches erstarre!	MU/KL/KK	C	Elementar (Erz), Umwelt
Bor: Dämonisch (Agrimoth), Umwelt	Bor5, Ach3, Mag3
Weihrauchwolke Wohlgeruch	IN/CH/FF	B	Illusion	Mag5, Srl5, Sch2
Weisheit der Bäume	MU/IN/KO	D	Form, Elementar (Humus)	Geo4, Dru4, Elf2, Mag(Dru)2, Hex(Geo)1
Wellenlauf	MU/GE/GE	D	Elementar (Wasser), Eigenschaften	Elf5, Ach2, Dru2, Geo2, Mag(Dru)2
Wettermeisterschaft	MU/CH/GE	E	Elementar (Luft), Umwelt	Dru5, Geo4, Ach3, Hex2, Mag2
Widerwille Ungemach	MU/IN/GE	D	Einfluss, Illusion	Mag3, Srl3
Windhose	MU/IN/KK	D	Elementar (Luft), Umwelt	Dru5, Geo4, Mag2
Windstille	KL/CH/KK	C	Elementar (Luft), Umwelt	Elf6, Mag2
Xenographus Schriftenkunde	KL/KL/IN	E	Hellsicht	Mag2
Zagibu Ubigaz	IN/CH/FF	C	Objekt, Elementar (Erz)	Sch7, Mag(Sch)2
Zauberklinge Geisterspeer	KL/FF/KO	D	Objekt, Kraft	Mag3, Elf2, Hex2, Geo2, Dru(Mag)2, Dru(Geo)2, Dru(Hex)2, Ach1
